id;valor;data;posto
5585645;0.0;2022-11-02;72
5585644;0.0;2022-11-01;72
5585653;0.0;2022-10-31;72
5585652;0.0;2022-10-30;72
5585651;0.0;2022-10-29;72
5579615;0.0;2022-10-28;72
5578990;0.0;2022-10-27;72
5578425;0.0;2022-10-26;72
5578424;0.0;2022-10-25;72
5578423;0.0;2022-10-24;72
5578422;0.0;2022-10-23;72
5578421;0.0;2022-10-22;72
5578420;0.0;2022-10-21;72
5575907;0.0;2022-10-20;72
5575906;0.0;2022-10-19;72
5575905;0.0;2022-10-18;72
5575904;0.0;2022-10-17;72
5575903;0.0;2022-10-16;72
5575902;0.0;2022-10-15;72
5572909;0.0;2022-10-14;72
5572908;0.0;2022-10-13;72
5572907;0.0;2022-10-12;72
5572906;0.0;2022-10-11;72
5572905;0.0;2022-10-10;72
5572904;0.0;2022-10-09;72
5572903;0.0;2022-10-08;72
5570376;0.0;2022-10-07;72
5569984;0.0;2022-10-06;72
5569983;0.0;2022-10-05;72
5569982;0.0;2022-10-04;72
5569981;0.0;2022-10-03;72
5569980;0.0;2022-10-02;72
5569979;0.0;2022-10-01;72
5569978;0.0;2022-09-30;72
5569977;0.0;2022-09-29;72
5569976;0.0;2022-09-28;72
5569975;0.0;2022-09-27;72
5569974;0.0;2022-09-26;72
5569973;0.0;2022-09-25;72
5569972;0.0;2022-09-24;72
5569971;0.0;2022-09-23;72
5569970;0.0;2022-09-22;72
5569969;0.0;2022-09-21;72
5569968;0.0;2022-09-20;72
5569967;0.0;2022-09-19;72
5569966;0.0;2022-09-18;72
5569965;0.0;2022-09-17;72
5569964;0.0;2022-09-16;72
5569963;0.0;2022-09-15;72
5569962;0.0;2022-09-14;72
5569961;0.0;2022-09-13;72
5569960;0.0;2022-09-12;72
5569959;0.0;2022-09-11;72
5569958;0.0;2022-09-10;72
5569957;0.0;2022-09-09;72
5569956;0.0;2022-09-08;72
5569955;0.0;2022-09-07;72
5569954;0.0;2022-09-06;72
5569953;0.0;2022-09-05;72
5569952;0.0;2022-09-04;72
5569951;0.0;2022-09-03;72
5553883;0.0;2022-09-02;72
5553882;0.0;2022-09-01;72
5553881;0.0;2022-08-31;72
5553880;0.0;2022-08-30;72
5553879;0.0;2022-08-29;72
5553878;0.0;2022-08-28;72
5553877;0.0;2022-08-27;72
5553876;0.0;2022-08-26;72
5553875;0.0;2022-08-25;72
5553874;0.0;2022-08-24;72
5548101;0.0;2022-08-23;72
5548100;0.0;2022-08-22;72
5548099;0.0;2022-08-21;72
5548098;0.0;2022-08-20;72
5548097;0.0;2022-08-19;72
5548096;0.0;2022-08-18;72
5548095;0.0;2022-08-17;72
5544848;0.0;2022-08-16;72
5544847;0.0;2022-08-15;72
5544846;0.0;2022-08-14;72
5544845;0.0;2022-08-13;72
5544844;0.0;2022-08-12;72
5544843;0.0;2022-08-11;72
5544842;0.0;2022-08-10;72
5544841;0.0;2022-08-09;72
5541141;0.0;2022-08-08;72
5541140;0.0;2022-08-07;72
5541139;0.0;2022-08-06;72
5540205;20.0;2022-08-05;72
5540204;0.0;2022-08-04;72
5540203;0.0;2022-08-03;72
5537520;0.0;2022-08-02;72
5537519;0.0;2022-08-01;72
5537518;0.0;2022-07-31;72
5537517;0.0;2022-07-30;72
5537516;0.0;2022-07-29;72
5534657;0.0;2022-07-28;72
5534656;0.0;2022-07-27;72
5534655;0.0;2022-07-26;72
5532193;0.0;2022-07-25;72
5531711;0.0;2022-07-24;72
5531710;0.0;2022-07-23;72
5531709;0.0;2022-07-22;72
5530480;0.0;2022-07-21;72
5530139;0.0;2022-07-20;72
5529592;0.0;2022-07-19;72
5529234;0.0;2022-07-18;72
5529233;0.0;2022-07-17;72
5529232;0.0;2022-07-16;72
5529231;0.0;2022-07-15;72
5527391;0.0;2022-07-14;72
5527390;0.0;2022-07-13;72
5526518;0.0;2022-07-12;72
5526517;0.0;2022-07-11;72
5525787;0.0;2022-07-10;72
5525786;0.0;2022-07-09;72
5525785;0.0;2022-07-08;72
5525784;0.0;2022-07-07;72
5525783;0.0;2022-07-06;72
5525782;0.0;2022-07-05;72
5522865;0.0;2022-07-04;72
5522864;0.0;2022-07-03;72
5522863;0.0;2022-07-02;72
5521564;0.0;2022-07-01;72
5521566;0.0;2022-06-30;72
5521565;0.0;2022-06-29;72
5520096;0.0;2022-06-28;72
5520095;0.0;2022-06-27;72
5520094;0.0;2022-06-26;72
5520093;0.0;2022-06-25;72
5520092;0.0;2022-06-24;72
5517842;0.0;2022-06-23;72
5517481;0.0;2022-06-22;72
5516767;0.0;2022-06-21;72
5516766;0.0;2022-06-20;72
5516765;0.0;2022-06-19;72
5514464;0.0;2022-06-18;72
5514238;0.0;2022-06-17;72
5513905;0.0;2022-06-16;72
5513656;0.0;2022-06-15;72
5513655;0.0;2022-06-14;72
5513654;0.0;2022-06-13;72
5513653;0.0;2022-06-12;72
5513652;0.0;2022-06-11;72
5513651;0.0;2022-06-10;72
5513650;0.0;2022-06-09;72
5513649;0.0;2022-06-08;72
5513648;0.0;2022-06-07;72
5513647;0.0;2022-06-06;72
5513646;0.0;2022-06-05;72
5513645;0.0;2022-06-04;72
5507452;12.0;2022-06-03;72
5507451;0.0;2022-06-02;72
5505695;20.0;2022-06-01;72
